time_s,rpm,rpm_raw,engine_state,throttle_gas_pct,brake,ignition,gear_selector,gear_auto,gear_physical,clutch_pressure,road_implied_rpm,creep_relief_fired,vehicle_speed_kmh,target_speed_kmh,sim_speed_mph,engine_torque_nm,drivetrain_torque_nm,dyno_torque_nm,starter_engaged,exhaust_flow_cm3s,synth_out_rms
0.966,1061,964,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.916,-2.000,2.434,28.0,-502.5,0.0,0,44317.9396,-1.0000
0.983,1040,928,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.953,-2.000,2.456,24.9,-435.5,0.0,0,-22307.9450,-1.0000
0.999,1021,920,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.989,-2.000,2.478,24.2,-418.3,0.0,0,29179.8712,-1.0000
1.016,1004,918,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.023,-2.000,2.500,23.8,-409.0,0.0,0,-15844.1223,-1.0000
1.033,989,910,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.057,-2.000,2.521,23.7,-405.0,0.0,0,35515.6210,-1.0000
1.049,975,906,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.091,-2.000,2.542,23.2,-393.9,0.0,0,22116.1578,-1.0000
1.066,963,904,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.123,-2.000,2.562,23.1,-390.8,0.0,0,25205.7514,-1.0000
1.083,952,893,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.156,-2.000,2.582,22.9,-383.5,0.0,0,23993.5523,-1.0000
1.099,939,850,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.186,-2.000,2.601,21.9,-362.1,0.0,0,37557.1314,-1.0000
1.116,920,821,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.212,-2.000,2.617,19.2,-306.2,0.0,0,-29195.0850,-1.0000
1.133,904,817,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.238,-2.000,2.633,19.0,-300.1,0.0,0,23940.8251,-1.0000
1.149,890,814,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,4.263,-2.000,2.649,19.0,-300.8,0.0,0,-11265.0091,-1.0000
1.166,879,817,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,4.289,-2.000,2.665,19.5,-308.3,0.0,0,15902.3614,-1.0000
1.183,871,815,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,4.315,-2.000,2.681,19.6,-309.9,0.0,0,22285.9047,-1.0000
1.199,865,827,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,4.342,-2.000,2.698,20.0,-316.4,0.0,0,22487.8643,-1.0000
1.216,862,838,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,4.369,-2.000,2.715,20.5,-325.8,0.0,0,28356.6157,-1.0000
1.233,859,837,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,4.397,-2.000,2.732,20.7,-327.9,0.0,0,28433.6974,-1.0000
1.249,854,785,Running,6,0.00,1,99,1,1,0.6000,-184.1,0,4.423,-2.000,2.748,19.6,-306.0,0.0,0,28881.7798,-1.0000
1.266,844,800,Running,6,0.00,1,99,1,1,0.6000,-184.1,0,4.446,-2.000,2.762,17.8,-268.9,0.0,0,-9655.4734,-1.0000
1.283,837,824,Running,9,0.00,1,99,1,1,0.6000,-184.1,0,4.469,-2.000,2.777,18.5,-281.6,0.0,0,30311.8680,-1.0000
1.299,835,847,Running,8,0.00,1,99,1,1,0.6000,-184.1,0,4.495,-2.000,2.793,19.4,-299.1,0.0,0,-9589.5014,-1.0000
1.316,837,865,Running,8,0.00,1,99,1,1,0.6000,-184.1,0,4.522,-2.000,2.810,20.6,-322.5,0.0,0,40411.1647,-1.0000
1.333,841,885,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,4.551,-2.000,2.828,21.6,-340.6,0.0,0,30590.5128,-1.0000
1.349,849,913,Running,6,0.00,1,99,1,1,0.6000,-184.1,0,4.582,-2.000,2.847,23.0,-368.2,0.0,0,35306.1411,-1.0000
1.366,860,935,Running,6,0.00,1,99,1,1,0.6000,-184.1,0,4.615,-2.000,2.868,24.4,-394.9,0.0,0,43005.8843,-1.0000
1.383,871,927,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.650,-2.000,2.889,25.1,-407.0,0.0,0,58686.0289,-1.0000
1.399,874,896,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.680,-2.000,2.908,22.8,-358.6,0.0,0,-10337.6759,-1.0000
1.416,879,927,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.711,-2.000,2.927,23.5,-373.0,0.0,0,38700.6217,-1.0000
1.433,888,961,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.746,-2.000,2.949,25.2,-405.5,0.0,0,9782.6304,-1.0000
1.449,900,990,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.783,-2.000,2.972,27.0,-441.4,0.0,0,59426.1758,-1.0000
1.466,915,1017,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.823,-2.000,2.997,28.5,-470.0,0.0,0,46793.7811,-1.0000
1.483,932,1038,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.865,-2.000,3.023,30.3,-504.4,0.0,0,49458.5611,-1.0000
1.499,950,1047,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.910,-2.000,3.051,31.6,-528.5,0.0,0,48661.9414,-1.0000
1.516,962,995,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.952,-2.000,3.077,30.5,-503.7,0.0,0,38018.1274,-1.0000
1.533,969,1022,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,4.993,-2.000,3.102,29.4,-480.1,0.0,0,22836.2383,-1.0000
1.549,980,1055,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,5.036,-2.000,3.129,31.0,-509.6,0.0,0,27936.3573,-1.0000
1.566,993,1081,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,5.082,-2.000,3.158,32.7,-542.3,0.0,0,69440.4030,-1.0000
1.583,1007,1097,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,5.129,-2.000,3.187,33.9,-565.8,0.0,0,48742.4340,-1.0000
1.599,1023,1111,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,5.179,-2.000,3.218,35.3,-591.9,0.0,0,50764.0393,-1.0000
