timestamp_utc_ms,throttle_pct,speed_kmh,acceleration_g,brake_pct,steering_angle_deg,motor_rpm,motor_hv_voltage,motor_hv_current,gear_selector,motor_torque_nm
1781472546703,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546706,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546709,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546709,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546711,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546714,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546717,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546717,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546720,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546722,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546725,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546728,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546728,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546731,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546733,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546736,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546739,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546742,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546742,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546744,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546747,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546750,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546753,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546753,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546755,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546758,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546761,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546764,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546767,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546769,13.60,61.52,,2.00,4.70,,,,4097,-1410.00
1781472546772,13.60,61.28,,2.00,4.70,,,,4097,-1410.00
1781472546772,13.60,61.28,,2.00,4.70,,,,4097,-1410.00
1781472546775,13.60,61.28,,2.00,4.70,,,,4097,-1410.00
1781472546778,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546780,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546783,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546783,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546786,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546789,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546791,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546794,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546797,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546800,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546800,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546802,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546805,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546805,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546808,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546811,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546814,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546814,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546816,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546819,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546822,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546825,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546827,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546827,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546830,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
